"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
41,"nj","高淳","https://nj.lianjia.com/chengjiao/103090357353.html","裕华名居","3室2厅","127.36平米","东 南 北","简装","有电梯","高楼层(共19层)","2000年建板楼","2016.01.24","23556","300","None","None","None"
42,"nj","高淳","https://nj.lianjia.com/chengjiao/103100119114.html","东方城朝霞园","3室2厅","103.13平米","南","精装","无电梯","中楼层(共6层)","2000年建板楼","2016.02.22","23466","242","None","None","None"
43,"nj","高淳","https://nj.lianjia.com/chengjiao/103089811738.html","东方城朝霞园","3室2厅","103.13平米","南 北","精装","无电梯","低楼层(共6层)","2000年建板楼","2016.01.08","20169","208","房屋满五年","None","距4号线王家湾239米"
44,"nj","高淳","https://nj.lianjia.com/chengjiao/103101274964.html","雅居乐花园","2室1厅","73.29平米","南","精装","有电梯","中楼层(共11层)","2009年建板塔结合","2017.12.20","41889","307","房屋满五年","None","距3号线雨花门1137米"
45,"nj","高淳","https://nj.lianjia.com/chengjiao/103101890442.html","雅居乐花园","1室1厅","54.05平米","东","其他","有电梯","高楼层(共11层)","2009年建板塔结合","2017.12.16","29603","160","房屋满两年","None","距3号线雨花门999米"
46,"nj","高淳","https://nj.lianjia.com/chengjiao/103101517164.html","雅居乐花园","2室1厅","53.19平米","北","其他","有电梯","中楼层(共11层)","2009年建板塔结合","2017.12.13","37790","201","房屋满两年","None","None"
47,"nj","高淳","https://nj.lianjia.com/chengjiao/103101667849.html","都市山庄","2室1厅","65.28平米","南 北","其他","无电梯","高楼层(共6层)","2000年建板楼","2017.09.13","31557","206","房屋满两年","None","距2号线下马坊301米"
48,"nj","高淳","https://nj.lianjia.com/chengjiao/103101461674.html","都市山庄","3室1厅","75.91平米","南 北","精装","无电梯","中楼层(共7层)","2000年建板楼","2017.08.16","33527","254.5","房屋满两年","None","None"
49,"nj","高淳","https://nj.lianjia.com/chengjiao/103101302294.html","都市山庄","2室1厅","48.45平米","南","毛坯","无电梯","中楼层(共7层)","2000年建板楼","2017.06.11","27864","135","None","None","None"
50,"nj","高淳","https://nj.lianjia.com/chengjiao/103101726135.html","龙湖文馨苑","2室2厅","96.67平米","南 北","其他","有电梯","中楼层(共11层)","2007年建板塔结合","2017.10.17","26151","252.8","房屋满两年","None","None"
51,"nj","高淳","https://nj.lianjia.com/chengjiao/103101612343.html","龙湖文馨苑","1室1厅","60平米","南","其他","有电梯","中楼层(共9层)","2007年建板塔结合","2017.09.24","28917","173.5","None","None","None"
52,"nj","高淳","https://nj.lianjia.com/chengjiao/103101724253.html","龙湖文馨苑","2室1厅","51.22平米","南","其他","无电梯","低楼层(共6层)","2007年建板塔结合","2017.09.18","29286","150","None","None","None"
53,"nj","高淳","https://nj.lianjia.com/chengjiao/103101682057.html","双乐园小区","2室1厅","49.57平米","南 北","精装","有电梯","中楼层(共7层)","1997年建板楼","2017.09.11","29010","143.8","房屋满两年","None","None"
54,"nj","高淳","https://nj.lianjia.com/chengjiao/103101532116.html","双拜巷教师公寓","2室1厅","66.48平米","南 北","精装","无电梯","高楼层(共7层)","2001年建板楼","2017.08.17","24745","164.5","房屋满五年","None","None"
